и, and
накапливать, accumulate
нарастание, increase
настой, infusion
насу́питься, to nespitsa
научно-практи́ческий, scientific-practical
неблагополу́чный, disadvantaged
неве́дение, ignorance
невино́вность, innocence
недостающий, missing
нежилой, non-residential
неи́стово, furiously
нелюбо́вь, dislike
неприли́чно, indecent
неприметный, inconspicuous
неразры́вно, inextricably
неспокойный, restless
несущий, bearing
неудовлетворительный, unsatisfactory
ниотку́да, nowhere
но́жны, sheath
номенклатурный, item
облича́ть, to denounce
обли́чье, dress
обмотать, winding
обновлять, update
обруга́ть, swear at
обустра́ивать, to equip
округлить, round
омерзи́тельный, disgusting
опись, inventory
осу́нуться, to peaky
отва́живаться, venture
отголо́сок, echo
отмывание, laundering
отмыть, wash
отхлебнуть, to idlebot
па́кость, nasty
па́поротник, fern
парохо́дство, shipping
пациентка, the patient
первозда́нный, pristine
пересчитывать, recalculate
пешехо́дный, pedestrian
пища́ть, to begin with
платьице, dress
повеле́ние, the command
поверженный, defeated
повтор, repeat
подвесной, pendant
подкладывать, to enclose
подко́ва, horseshoe
подложка, the substrate
подлоко́тник, armrest
подряд, in a row
подытожить, to summarize
получа́с, half hour
по-мо́ему, in my opinion
поодино́чке, alone
поперхну́ться, to poperhnutsja
потаенный, undercover
потемки, the darkness
пошарить, fumble
предотвращать, to prevent
преосвяще́нный, Bishop
пресле́дователь, the Stalker
преувеличить, to exaggerate
призма, prism
прикуси́ть, bite
прильну́ть, snuggle
примеря́ть, try
прищу́ривать, blink
проблематичный, problematic
проли́ться, to shed
проло́г, prologue
пропа́жа, loss
проро́ческий, prophetic
просту́пок, offense
противогаз, mask
пюре́, puree
пя́литься, stare
пятнистый, spotted
ра́бский, slave
радиоэлектро́нный, electronic
разгоня́ть, to disperse
разгорячить, to raskoryachit
раздирать, to rend
разреши́ться, resolved
разуме́ние, understanding
раси́зм, racism
распа́хивать, plough
расписывать, paint
расплата, retribution
расплыться, blurred
расслабля́ть, relax
рейтинговый, rating
ремесленник, craftsman
ртуть, mercury
рулетка, roulette
ры́бина, fish
рыскать, prowl
рядышком, side by side
сакра́льный, sacred
сближа́ть, to bring together
северя́нин, the northerner
семенной, seed
си́филис, syphilis
складной, folding
скорлупа, shell
согрева́ть, warm
соперница, opponent
спектра́льный, spectral
спецна́зовец, commando
списание, write-off
средиземный, Mediterranean
старшеклассник, high school
статуэ́тка, figurine
стенограмма, transcript
сточный, waste
стря́хивать, shake
субтип, subtype
сумато́ха, turmoil
те́льце, Taurus
термос, thermos
трехэтажный, three-storey
ту́чный, fat
углубленный, in-depth
уда́в, boa
укрепля́ться, to strengthen
уложи́ться, to meet
упрятать, hide
уро́дство, ugliness
уставный, authorized
ута́скивать, to drag
фиа́лка, violet
храп, snoring
хромо́й, lame
цеплять, to cling
чува́к, dude
широкомасшта́бный, large-scale
шотла́ндский, Scottish
штани́на, leg
экспериментировать, experiment
язычок, the tongue
якорный, anchor
янва́рский, January
анана́с, pineapple
арифметический, arithmetic
арши́н, Arshin
аэродинамический, this model
ба́рыня, lady
ба́сня, fable
безве́стный, unknown
беси́ть, drive crazy
беспамятство, unconsciousness
беспорядочный, messy
бессильно, software
библиотечный, library
биохимический, biochemical
блат, blat
ближневосто́чный, middle East
брати́шка, brother
брежневский, Brezhnev
бру́ствер, the parapet
бублик, bagel
велича́ть, to call
ветхозаве́тный, the old Testament
ве́щий, prophetic
вещи́ца, the thing
визи́тка, card
виля́ть, wag
вишь, further
влива́ться, to join
вобрать, to absorb
водоворот, whirlpool
враждова́ть, to fight
вторга́ться, to invade
вы́верить, to reconcile
выка́тывать, to roll out
выкидывать, throw
вы́кладка, display
выталкивать, push
вытя́гиваться, stretch
гнет, oppression
гнуться, to bend
го́вор, dialect
годность, the suitability of
головокружи́тельный, dizzy
грудка, breast
да́нность, given
де́бри, wilds
деготь, tar
держатель, holder
деса́нтный, landing
десна́, gums
дешевка, cheap
джин, gin
диви́ться, marvel
ди́спут, debate
догмат, the dogma
дознава́тель, investigator
древнегре́ческий, ancient Greek
дружи́ще, buddy
единоли́чный, sole
езжать, travel
епархиа́льный, diocesan
жа́нровый, genre
жгут, harness
жела́тельный, desirable
железобетонный, concrete
жердь, pole
жратва́, grub
заглавие, title
задви́нуть, push
зажига́ться, light up
зако́нно, legally
закуто́к, nook
заме́шкаться, linger
запечатать, seal
запряга́ть, harness
за́рево, glow
заряжать, charge
заскочить, to take
засомневаться, to doubt
застревать, get stuck
захлестнуть, overwhelm
здра́вие, health
зно́йный, hot
измельчи́ть, chop
имя-отчество, name-surname
ингредиент, ingredient
индивидуум, the individual
индустриализа́ция, industrialization
интеграцио́нный, integration
искупа́ться, swim
истука́н, idol
исче́рпываться, the complete list
кана́дец, canadian
карликовый, dwarf
кинематография, film
ки́са, kitty
ключи́ца, collarbone
кня́жество, the Principality
команди́рский, commander
комеди́йный, Comedy
комета, comet
коммуникати́вный, communicative
комнату́шка, the room
контрреволюцио́нный, counterrevolutionary
корифе́й, coryphaeus
корму́шка, feeder
коррозия, corrosion
космодром, the spaceport
кочегар, Stoker
кру́жево, lace
куби́нский, Cuban
культурно-исторический, cultural-historical
лавровый, Laurel
лебеди́ный, Swan
лексико́н, lexicon
лесник, Forester
лесохозяйственный, forestry
лингви́ст, linguist
листовой, sheet
логоти́п, logo
лоджия, loggia
ло́тос, Lotus
маги́стр, master
манеке́нщица, model
манипулировать, to manipulate
маркер, marker
механизация, mechanization
ми́нный, mine
минский, Minsk
млекопита́ющее, mammal
многовеково́й, centuries
могилка, the grave
мясокомбина́т, meat
наве́дываться, to visit
наголо, bald
нали́ться, fill
наставля́ть, instruct
натура́льно, naturally
неве́рие, unbelief
неви́нность, innocence
нево́ля, bondage
невпопа́д, out of place
недооценивать, to underestimate
не́друг, foe
неистреби́мый, indestructible
ненадлежа́щий, improper
неоднородность, heterogeneity
непринужденный, casual
непроходимый, impassable
неуемный, irrepressible
не́чисть, evil
ни́зменный, low
обделя́ть, deprive
обреченно, doomed
обува́ться, Shoe
общественно, public
огло́хнуть, deaf
озерный, lake
ознакомля́ть, to acquaint
ортодокса́льный, Orthodox
оса́да, siege
освещаться, covered
отвал, the blade
отдаленно, remotely
откроить, to adroit
отстране́ние, suspension
оты́грывать, play
оцепенеть, numb
параграф, paragraph
перекрестный, cross
переоце́нивать, to overestimate
переоценка, revaluation
перст, finger
петропавловский, Peter and Paul
пи́скнуть, in
плетень, the fence
победоно́сный, victorious
по-ва́шему, you
повседне́вность, daily
подгруппа, subgroup
подева́ться, gone to
подменя́ть, substitute
подмо́га, help
подогреть, preheat
подорожа́ть, to appreciate
подпева́ть, sing along
подсу́дность, jurisdiction
поду́ть, blow
поды́скивать, to find
поли́ться, pour
полынь, wormwood
пома́хивать, to waggle
порногра́фия, pornography
портативный, portable
поте́нция, potency
потускнеть, to fade
прагмати́ческий, pragmatic
превыше, above
предикат, the predicate
предохранитель, fuse
преуспевающий, successful
приве́тственный, welcome
прида́ние, giving
прида́ча, the addition
принуждать, to force
природопо́льзование, management
приютить, shelter
провидение, Providence
провинциа́л, the provincial
проволочный, wire
продвинутый, advanced
проигнори́ровать, ignore
произноше́ние, pronunciation
промывать, wash
просле́довать, continue
просуществова́ть, to survive
протеста́нтский, Protestant
пульсировать, pulsate
путеводитель, guide
путевой, track
разбег, the runway
разговорный, spoken
разли́ться, flow
размахнуться, you swing
раскаленный, hot
раскачивать, rocking
распределительный, distribution
распрода́жа, sale
растереть, grind
реализовывать, to implement
ревни́вый, jealously
рентген, x-ray
рой, Roy
рутинный, routine
са́женец, seedling
саксофо́н, saxophone
сгнива́ть, rot
сгорание, combustion
се́веро-восточный, northeast
семиле́тний, seven
се́чь, Sich
сине́ть, blue
сито, Tammy
ска́тываться, slide
скок, Skok
скули́ть, whine
смо́кинг, tuxedo
снегопа́д, snowfall
содрога́ться, shudder
сориенти́роваться, to Orient
соскользнуть, slide
сосновский, Sosnowski
сосредоточение, concentration
со́тый, hundredth
соуча́стник, partner
спелео́лог, caver
спе́ция, Spezia
спица, spoke
спроекти́ровать, design
спя́тить, to lose your mind
стара́тельный, carefully
столе́шница, countertop
столп, pillar
сто́лько-то, so much
сторони́ться, to avoid
стоя́чий, standing
стоящий, standing
страстно́й, passionate
строжа́йший, strict
субстра́т, the substrate
сумеречный, twilight
сцепить, hook
съедо́бный, edible
такса, Dachshund
татуиро́вка, tattoo
това́рищеский, friendly
торф, peat
транс, TRANS
тре́звость, sobriety
ту́пость, stupidity
тягучий, viscous
убыль, loss
углеводородный, hydrocarbon
уедине́ние, privacy
уме́ренно, moderately
умести́ться, fit
умча́ться, dart
уро́н, damage
усваивать, to learn
усма́тривать, to see
усо́пший, the deceased
устрица, oyster
уху́дшиться, to worsen
фарисе́й, the Pharisee
функционе́р, functionary
хитри́ть, to cheat
холодильный, refrigeration
хрип, rattle
хрустнуть, to chustnut
целенаправленно, purposefully
чемпионский, champion
чередова́ться, rotate
чмо́кать, kiss
чуде́сный, wonderful
шах, Shah
шлак, slag
шлепнуть, slap
шпилька, stud
экспериментально, experimentally
ювели́р, jeweler
ястреб, hawk
ящерица, lizard
аббревиату́ра, abbreviation
агре́ссор, the aggressor
аза́ртно, recklessly
анализироваться, analyzed
ангар, hangar
архаи́чный, archaic
археологи́ческий, archaeological
ассигнование, the allocation of
афе́ра, Scam
бабу́ся, Granny
барабанный, drum
баскетбольный, basketball
бе́жевый, beige
безжизненный, lifeless
безоблачный, cloudless
бесповоротно, irrevocably
близорукий, nearsighted
блюдечко, the saucer
бра́нный, bronny
бурьян, weeds
ваго́нный, car
вакцинный, vaccine
ведущая, leading
вездесу́щий, omnipresent
венециа́нский, Venetian
вертолетный, helicopter
видеозапись, video
виногра́дник, vineyard
виолонче́ль, cello
вираж, turn
витра́ж, stained glass
водола́з, diver
во́дочный, vodka
возродиться, to revive
воодушевление, inspiration
впрок, for the future
вчетверо́м, four
вы́вернуться, to be turned out
вызывающий, calling
вы́лазка, Sally
выносливость, endurance
высокоме́рие, arrogance
вы́терпеть, to endure
вэ, ve
газе́тчик, the paperboy
гоне́ц, the messenger
гороско́п, horoscope
гости́нец, hotels
гробово́й, deathly
движущий, driving
двухместный, double
демократиза́ция, democratization
дизайнерский, designer
дове́рчиво, trustingly
довольно-таки, pretty
единоду́шный, unanimous
жезл, rod
же́нственный, feminine
жижа, liquid
заблесте́ть, Shine
заверять, to assure
загро́бный, afterlife
задуше́вный, sincere
закипа́ть, simmer
залете́ть, to fly
замедление, slow
занима́тельный, entertaining
занято́й, busy
засте́нчивый, shyly
затмение, Eclipse
защищенность, security
зву́чный, sonorous
здрасте," ""Hello"
зимова́ть, winter
злове́щий, ominously
зуд, itching
иерусалимский, Jerusalem
излишество, excess
изме́нник, the traitor
изнемога́ть, to be exhausted
изображаться, be depicted
инду́с, the Hindu
интеллигентность, intelligence
интерве́нция, intervention
информатизация, Informatization
итого́, total
ка́зус, the incident
католици́зм, Catholicism
кипа, bale
кладбищенский, cemetery
клюква, cranberry
кля́сть, to clast
колымский, Kolyma
копоть, soot
ко́реш, sidekick
корректива, correction
криви́ть, to krivit
ку́брик, Kubrick
кузи́на, cousin
лаз, LAZ
ле́карь, the healer
лексема, token
лепета́ть, to speak
лиа́на, Liana
лука́вить, boggle
льняной, linen
майоне́з, mayonnaise
массо́вка, the crowd
махина́ция, scheme
медальо́н, medallion
ме́лочный, petty
месси́я, the Messiah
милейший, dear
миллиарде́р, billionaire
многолю́дный, crowded
многослойный, multilayer
многосторонний, multilateral
мозо́ль, corn
молдавский, Moldovan
молниено́сно, lightning
мосье́, Monsieur
на, on
наводка, the tip
нае́здник, rider
нала́живание, establishing
наплыв, the influx
нарыва́ться, running
насели́ть, live
наси́льник, rapist
насле́дование, inheritance
нача́льственный, authoritative
невесомость, weightlessness
неглу́пый, intelligent
недолю́бливать, dislike
незва́ный, uninvited
незначи́тельно, slightly
немы́тый, unwashed
неотрази́мый, irresistible
непослу́шный, naughty
неправдоподо́бный, implausible
нескрыва́емый, undisguised
несравне́нно, much
неудержимо, uncontrollably
неудивительный, it is no wonder
неуме́лый, inept
новобра́нец, rookie
ночевка, overnight
обожда́ть, to wait
обомле́ть, to oboslete
обраста́ть, to acquire
обрека́ть, doom
обрисо́вывать, outline
обступа́ть, pressing
объезжать, to avoid
о́кунь, perch
оп, op
остолбене́ть, petrify
отбо́рный, selected
отвяза́ться, get rid of
отмель, shallow
отождествлять, to identify
отпива́ть, to drink
отры́висто, abruptly
отсчитывать, to count
отта́скивать, pull
отта́лкиваться, to start
о́хать, ooh
пали́тра, palette
парто́рг, the party organizer
патриархия, Patriarchy
передатчик, transmitter
переполнять, to overwhelm
переспра́шивать, to ask
песнопе́ние, singing
плантация, plantation
плате́льщик, the payer
плева́ться, spitting
повеле́ть, get
повсеме́стный, widespread
повторно, again
подба́дривать, cheer
подвла́стный, subject
ку́шать, to eat
попива́ть, drink
пороховой, powder
портиться, to spoil
порха́ть, to flutter
посо́льский, Embassy
правдоподобный, plausible
предостерега́ть, to warn
предостережение, warning
предприи́мчивый, enterprising
представи́тельница, representative
привал, halt
призна́тельный, grateful
приобща́ться, join
приседа́ть, squat
присма́тривать, watch
причу́да, fad
пробужда́ться, to Wake up
прогреметь, thunder
проинформировать, to inform
прокорми́ть, to feed
промо́лвить, to say
проницаемость, permeability
простоду́шный, ingenuously
протяну́ться, get
прямолинейный, straight
пуга́ющий, frightening
пустяко́вый, trifling
разме́ренный, measured
распростира́ть, to rasprostanenie
рассрочка, installment
расстегивать, unbuckling
расстроенный, frustrated
ратифика́ция, ratification
реагент, reagent
рисова́ться, to draw
риф, reef
рубе́ц, scar
садовод, gardener
самобы́тность, identity
самозащита, self-defense
самоуве́ренность, overconfidence
санда́лия, sandal
сближаться, closer
свергнуть, to overthrow
сверже́ние, the overthrow of the
сверхновый, supernova
сдуть, blow away
седан, sedan
сень, canopy
слоган, slogan
смыка́ться, to close
снасть, tackle
снотво́рное, sleeping pills
собесе́дница, companion
сознава́ться, to confess
соответственно, accordingly
старе́йшина, elder
ста́ться, can
сты́дный, shameful
суеве́рный, superstitious
там-то, there
танцо́вщица, dancer
тектонический, tectonic
тиф, typhoid
тра́ур, mourning
трахнуть, fuck
трепа́ться, to shoot the breeze
трудолю́бие, diligence
тру́сить, to trusit
убыточный, losing
ужесточе́ние, tightening
укорени́ться, root
умы́шленный, intentional
униформа, uniforms
упива́ться, revel
упра́шивать, to beg
упругость, elasticity
утиха́ть, subside
утомленный, tired
фабричный, factory
фанати́зм, fanaticism
фасон, style
фляга, jar
форсировать, to force
фы́ркать, snorting
халту́ра, the hack
хер, fuck
хлю́пать, squish
цвета́стый, colorful
цензор, censor
цига́рка, zegarka
челка, bangs
челове́чий, human
челове́чный, human
чудно, wonderful
чудно́й, weird
широкопле́чий, broad-shouldered
шлагбаум, the barrier
шлейф, train
шме́ль, bumblebee
щечка, the cheek
экскурсово́д, the guide
экспедиционный, forwarding
экспресс, Express
экстравага́нтный, extravagant
эпило́г, epilogue
э́пос, epic
юго-запад, southwest
ю́нкер, Junker
яи́чный, egg
аванга́рдный, avant-garde
автостоянка, Parking
агенту́ра, agents
анатоми́ческий, anatomical
апелли́ровать, to appeal
апелля́ция, appeal
апте́чный, pharmacy
архиерейский, hierarchical
астро́лог, astrologer
аттитюд, attitude
афга́нец, Afghan
а́хать, exclaim
беззабо́тно, carefree
беспе́чно, lightly
бестсе́ллер, bestseller
бидон, the churn
..ля, ..La
бойня, slaughter
бордюр, curb
босто́н, Boston
бри́ть, shaving
бронетранспортер, the APC
валик, roller
весели́ть, amuse
вкопа́ть, to scopate
властели́н, Lord
влета́ть, to fly
восхища́ть, delight
впитать, to absorb
вражде́бность, hostility
всма́триваться, look
всхлип, sob
вся́кое, every
вторга́ться, to invade
в-четвертых, fourth
вы́зваться, be called
вызыва́ться, be called
вырази́тельность, expressiveness
высокоэффективный, high-performance
выу́живать, to get
выцветший, faded
газель, Gazelle
геохимический, geochemical
голодо́вка, the hunger strike
голосовой, voice
голубогла́зый, blue-eyed
горчи́ца, mustard
гриппо́зный, flu-like
гробни́ца, tomb
гро́хаться, crashing
грубова́тый, rough
далеко-далеко, far
демаго́гия, demagoguery
ди, di
диверсифика́ция, diversification
дискомфо́рт, discomfort
до́верху, top
домино́, Domino
доми́шко, the house
допла́та, Supplement
дроздовский, drozdowski
дублировать, duplicate
ды́бом, end
единоросс, ur member
емкий, capacious
жетон, token
журчать, splatter
заблоки́ровать, block
загон, pen
загородить, to block
законодательно, legally
замелькать, to samalkot
заострить, to sharpen
запове́дный, reserved
запрашивать, request
запреде́льный, beyond
за́спанный, sleepy
застава́ть, to find
зата́птывать, to trample
зачистка, Stripping
злосча́стный, the ill-fated
значи́тельность, the significance of
зоркий, sharp
избавля́ть, to deliver
изготовитель, manufacturer
изготовлять, manufacturing
изнанка, wrong side
изумля́ться, marvel
изумру́д, emerald
изю́м, raisins
имени́ны, birthday
имхо, IMHO
инициал, the initial
интерактивный, interactive
и́скорка, spark
испе́чь, bake
исправный, working
июньский, June
калоша, galosh
канистра, canister
кафедра́льный, Cathedral
ковче́г, the ark
композицио́нный, composite
конфе́тка, sweetie
концентрированный, concentrated
костяно́й, bone
кремато́рий, crematorium
кули́к, Kulik
курно́сый, snub
куса́ться, biting
лаборант, assistant
лазаре́т, the infirmary
ледокол, icebreaker
лесопользование, forest management
лобный, frontal
магний, magnesium
маркси́ст, Marxist
масо́нский, Masonic
матросский, sailor
махорка, shag
ма́чеха, the stepmother
метафи́зика, metaphysics
метну́ть, throw
миссионерский, missionary
многомиллио́нный, millions
мобильность, mobility
морфология, morphology
навигационный, navigation
навреди́ть, harm
накладной, invoice
накле́ивать, stick
наклейка, sticker
напира́ть, to emphasize
напролет, long
напрями́к, straight
наста́вить, instruct
настро́иться, tune
насыщение, saturation
натере́ть, grate
нащу́пывать, to find
невиди́мка, invisible
невино́вный, innocent
нейтрализация, neutralization
некорректный, incorrect
немедля, immediately
немощный, weak
неопису́емый, indescribable
неотделимый, inseparable
несанкционированный, unauthorized
несвойственный, unusual
несе́ние, carrying
несостоятельный, insolvent
неустойчивость, instability
неча́янный, unexpected
нечеткий, fuzzy
неща́дно, mercilessly
нюх, the scent
обле́злый, shabby
обновля́ться, updated
обоснованность, the validity
обсерватория, Observatory
обшить, sheathing
обыскать, search
одежка, clothes
одесси́т, Odessa
озвере́ть, to go berserk
о-о, Oh
опа́льный, disgraced
опла́кивать, to mourn
опло́шность, mistake
оранжерея, greenhouse
органи́чный, organic
оре́ховый, walnut
ориентированный, oriented
оседлать, to ride
осмелеть, to omelet
остроу́мно, witty
отверну́ть, Unscrew
отвесный, sheer
отврати́тельно, disgusting
отдува́ться, take the rap
отзвук, echo
отпереть, unlock
отра́дный, welcome
отрека́ться, to renounce
о́трочество, adolescence
отта́чивать, hone
отше́льник, the hermit
оше́йник, collar
оши́бочно, mistakenly
папа́ха, hat
пензенский, Penza
пе́рвенец, the firstborn
перегля́дываться, exchange glances
передра́знивать, to mimic
переместить, move
переподгото́вка, retraining
перепрыгнуть, jump
перерабатывать, process
переска́з, retelling
пересматривать, review
периодичность, the frequency
пика́нтный, spicy
пи́сьменно, in writing
пла́чущий, crying
плеск, splash
поброди́ть, wander
поголо́вье, livestock
подготавливать, to prepare
поджимать, purse
подкрасться, creep
подпу́нкт, item
подрезать, cut
подсо́вывать, shove
подсо́лнечный, sunflower
пожа́рник, the fireman
пожира́ть, devour
пози́ровать, to pose
полиомиели́т, polio
полови́ца, the Board
полти́нник, fifty dollars
полупрозрачный, translucent
полу́чка, pay
полюбопытствовать, be curious
померкнуть, to fade
помрачнеть, to what worried
пополнять, refill
поро́ть, flog
поручень, handrail
поршень, the piston
посиде́лки, gatherings
поспе́шный, hasty
посреди́не, in the middle
постамент, pedestal
потряса́юще, fabulous
потя́гивать, SIP
пра́чечная, Laundry
председа́тельство, the presidency
преподноси́ть, to present
прико́л, funny
припада́ть, to drop
припаса́ть, left
причисля́ть, to classify
прише́ствие, coming
проби́рка, tube
провокацио́нный, provocative
произво́льно, arbitrarily
прокол, puncture
пропаганди́ст, promoter
про́рубь, the hole
просачиваться, leak
просиять, brighten
проскользнуть, slip
прослужи́ть, to serve
пространный, lengthy
пря́ный, spicy
публици́стика, journalism
пухо́вый, downy
разве́дать, explore
разду́ть, to inflate
разжига́ть, kindle
разлета́ться, to scatter
разори́ться, splurging
раковый, cancer
рассечь, cut
растекаться, to spread
раста́пливать, melt
ребятки, guys
репресси́ровать, to repress
рецензент, reviewer
рябь, ripples
самохо́дка, the self-propelled launcher
Ка́шин, Sasha
свая, pile
сгиба́ться, bend
сказа́ние, the legend
склеить, glue
скорректи́ровать, to adjust
слиток, ingot
смы́ться, scoot
сни́кнуть, stagnated
со́вестно, ashamed
согласовывать, agree
согнутый, bent
соо́бщник, sidekick
сопредседа́тель, co-chair
сосредоточенность, focus
специфичность, specificity
специфичный, specific
спинной, spinal
спиртно́й, alcohol
среднегодово́й, average annual
среднестатисти́ческий, average
сродни́, akin
сса́дина, abrasion
сто́йко, rack
стоя́ние, standing
страхова́ть, to insure
стройматериал, the material
стру́сить, / she
сумасше́ствие, madness
съезжа́ть, take
сюрту́к, coat
та́нкер, tanker
тембр, voice
тенниси́ст, tennis player
термический, thermal
тождественный, identical
то́мный, languid
тора, the Torah
торжествующе, triumphantly
труби́ть, trumpet
туманность, nebula
турне́, tour
тюк, bale
ублюдок, bastard
угон, theft
угрызение, ugrasena
уе́здный, County
универса́л, wagon
унима́ть, to relieve
усилитель, amplifier
уша́нка, earflaps
уязвля́ть, to sting
фантази́ровать, to dream
физико-математический, physico-mathematical
хобот, trunk
холеный, sleek
ценообразование, pricing
ча́яние, hope
челнок, Shuttle
черни́льный, ink
чуб, Chub
чулан, the closet
чуткость, sensitivity
швабра, MOP
шелохну́ться, to move
шельф, shelf
шифр, cipher
шквал, squall
штурмово́й, assault
эгои́ст, selfish
экземляр, instance
элега́нтно, elegantly
эмалированный, enamel
эро́тика, erotica
эсэсовец, SS
юбиля́р, hero of the day
я́щичек, box
абрико́с, apricot
агра́рий, agrarian
амора́льный, immoral
апофео́з, apotheosis
бандероль, parcel
бантик, bow
бара́хтаться, to flounder
бард, bard
бедно, poor
безогово́рочный, unconditional
бессо́вестный, shameless
бирю́к, Biryuk
блаже́нный, blissfully
блатно́й, trickster
блеклый, faded
боеголо́вка, warhead
брезгли́вый, squeamish
букле́т, booklet
буль-бу́ль, bull bull
бунтова́ть, rebel
верховой, horse
взгля́дывать, look
висячий, hanging
влипа́ть, get
вооружи́ться, arm
восхищенный, delighted
всегда́шний, usual
вскипе́ть, to boil
встрево́житься, to tizzy
встроенный, built-in
вта́скивать, to drag
вы́мпел, pennant
выпирать, boosts
вы́плюнуть, spit it out
высадиться, to land
высоче́нный, tall
выявиться, identified
геноци́д, genocide
главко́м, commander-in-chief
градиент, the gradient
грехо́вный, sinful
громыха́ть, to rumble
двойственный, dual
дебюти́ровать, to debut
держа́вный, sovereign
диве́рсия, sabotage
ди́кость, wildness
динамично, dynamically
длинноно́гий, leggy
добива́ть, to finish off
до́мысел, speculation
допотопный, antediluvian
доработать, to finalize
желто́к, yolk
же́лчный, gall
жестикули́ровать, gesture
жировой, fat
бинтова́ть, wrap
забо́тить, caring
закача́ться, to nakachatsya
закрути́ться, curl
запасти́сь, stock up
запла́канный, tearful
заси́живаться, to stay
идеали́зм, idealism
иди́ллия, idyll
иера́рх, Hierarch
изнури́тельный, exhausting
изобретательность, ingenuity
инде́йский, Indian
индивидуа́льно, individually
инсцениро́вка, dramatization
и́род, Herod
искатель, finder
испачкать, stain
исполни́тельский, performing
кабаре́, cabaret
казахстанский, Kazakhstan
какой-никакой, any
капиталовложе́ние, investment
картер, Carter
картотека, card index
ка́ста, caste
ка́торжный, hard
кибернетика, Cybernetics
классифицировать, to classify
кла́ссно, cool
клеить, glue
клони́ться, to fall
кодовый, code
колори́тный, colorful
командиро́вочный, travel
конверсия, conversion
консолиди́рованный, consolidated
конфу́з, the confusion
корми́лец, the breadwinner
ко́тик, cat
кочева́ть, to roam
красноречи́вый, eloquent
кровообраще́ние, circulation
кузнецкий, Kuznetsk
культу́рно, cultural
куха́рка, cook
лагуна, Laguna
лентя́й, bummer
ликер, liqueur
лоза, vine
мари, Marie
масо́нство, Freemasonry
мастерски, masterfully
меньшеви́к, Menshevik
ми́лостыня, charity
мобилизационный, mobilization
моллюск, clam
молодняк, young
молочко́, jelly
мяте́жный, rebel
навалом, bulk
нагоня́ть, catch up
надвига́ть, slide
надувной, inflatable
намота́ть, reel
напя́ливать, to get
нарабо́тать, to develop
настига́ть, to overtake
настойка, tincture
настоя́ние, the insistence
насчита́ть, to count
натяжка, stretch
натянутый, tense
наха́льно, cheeky
нашуме́ть, made a noise
недове́рчивый, suspicious
недомога́ние, malaise
нелюби́мый, unloved
нематериа́льный, intangible
немыслимо, unthinkable
нерешенный, unresolved
несчастли́вый, unhappy
неуго́дный, evil
неустанно, constantly
низина, lowland
николаевский, Nicholas
но́у-хау, know-how
оа́зис, oasis
обгореть, burn
обдава́ть, pour
обели́ск, the obelisk
обертка, wrap
обзыва́ть, call
обманщик, the deceiver
обнаглеть, to grow insolent
обувной, Shoe
однока́шник, classmate
ожере́лье, necklace
оперативность, efficiency
оповестить, alert
оптимисти́чный, optimistic
органи́чески, organically
освидетельствование, examination
осознанно, consciously
оставле́ние, leaving
острига́ть, to cut
отве́дывать, enjoy
отек, swelling
отпускно́й, selling
отсечь, trim
оттопы́ривать, to stick out from the
пагубный, harmful
параша, the Parasha
патефо́н, the gramophone
пе́йджер, pager
переворачиваться, roll over
передвинуть, move
переминаться, to periments
переспа́ть, sleep
перышко, a feather
песенный, song
печенка, liver
пижо́н, dude
пи́цца, pizza
плавник, fin
плаче́вный, sad
плена́рный, plenary
пле́нный, prisoner
пневмони́я, pneumonia
побо́и, beating
побриться, to shave
поворотный, rotary
подавно, even more so
подборка, a range of
подви́нуться, to move
подгля́дывать, peep
подкармливать, feed
подкрепле́ние, reinforcement
позаимствовать, to borrow
покая́нный, penitential
поло́жим, put
полукруглый, semicircular
полюби́ться, fancy
помину́тно, minutes
помы́ться, wash
поника́ть, penetration
попечи́тель, Trustee
поплавок, float
поруга́ться, to quarrel
поручиться, vouch
поря́дком, order
посолить, salt
по-ста́рому, as usual
поучиться, to learn
предводи́тель, the leader
прелю́дия, prelude
преобладающий, the predominant
пресс-це́нтр, press center
придви́нуться, to get
придира́ться, nitpick
прикрепляться, attached
принудить, to force
присваивать, assign
пристегнуть, fasten
притвори́ться, pretend
пробо́р, the parting
прогова́риваться, to tell
продлевать, to extend
прорасти, grow
протекание, course
противобо́рство, confrontation
профко́м, the trade Union
пу́тный, Putna
пылинка, speck
пью́щий, drinker
разбо́й, robbery
разма́зывать, smudge
разми́нка, warm-up
разрыда́ться, to burst into tears
разряди́ть, discharged
разъезжа́ться, to disperse
раке́тка, racket
раскида́ть, spread
распира́ть, to shore
распи́сываться, sign
расса́да, seedlings
рассекать, cut
растворимый, soluble
растяжка, stretching
резви́ться, frolic
ри́нг, the ring
ровно, exactly
ром, rum
рукоять, handle
самозабве́нно, selflessly
самоли́чно, personally
связывание, linking
сгрести, rake up
седьмо́й, seventh
сирийский, Syrian
ситцевый, calico
скафандр, the suit
скрю́чивать, to SkyCity
ску́по, sparingly
сла́вить, praise
смерч, tornado
сморщенный, wrinkled
смущенный, confused
смычок, bow
со́боль, sable
содеять, to do
созревать, Mature
сокры́тие, concealment
солга́ть, to lie
сомкнуть, to close
спере́ть, to sperate
сра́вниваться, to compare
среднесро́чный, medium
стимуляция, stimulation
стиха́ть, to subside
строчить, scribbling
сту́жа, cold
суди́ться, sue
съезжа́ться, to arrive
типи́чно, typically
