и, and
жгут, harness
желательный, desirable
железобетонный, concrete
жердь, pole
жратва, grub
заглавие, title
задвинуть, push
зажигаться, light up
законно, legally
закуток, nook
замешкаться, linger
запечатать, seal
запрячь, harness
зарево, glow
заряжать, charge
заскочить, to take
засомневаться, to doubt
застревать, get stuck
захлестнуть, overwhelm
здравие, health
знойный, hot
измельчить, chop
имя-отчество, name-surname
ингредиент, ingredient
индивидуум, the individual
индустриализация, industrialization
интеграционный, integration
искупаться, swim
истукан, idol
исчерпываться, the complete list
канадец, canadian
карликовый, dwarf
кинематография, film
киса, kitty
ключица, collarbone
княжество, the Principality
командирский, commander
комедийный, Comedy
комета, comet
коммуникативный, communicative
комнатушка, the room
контрреволюционный, counterrevolutionary
корифей, coryphaeus
кормушка, feeder
коррозия, corrosion
космодром, the spaceport
кочегар, Stoker
кружево, lace
кубинский, Cuban
культурно-исторический, cultural-historical
лавровый, Laurel
лебединый, Swan
лексикон, lexicon
лесник, Forester
лесохозяйственный, forestry
лингвист, linguist
листовой, sheet
логотип, logo
лоджия, loggia
лотос, Lotus
магистр, master
манекенщица, model
манипулировать, to manipulate
маркер, marker
механизация, mechanization
минный, mine
минский, Minsk
млекопитающее, mammal
многовековой, centuries
могилка, the grave
мясокомбинат, meat
наведываться, to visit
наголо, bald
налиться, fill
наставлять, instruct
натурально, naturally
неверие, unbelief
невинность, innocence
неволя, bondage
невпопад, out of place
недооценивать, to underestimate
недруг, foe
неистребимый, indestructible
ненадлежащий, improper
неоднородность, heterogeneity
непринужденный, casual
непроходимый, impassable
неуемный, irrepressible
нечисть, evil
низменный, low
обделить, deprive
обреченно, doomed
обуть, Shoe
общественно, public
оглохнуть, deaf
озерный, lake
ознакомить, to acquaint
ортодоксальный, Orthodox
осада, siege
освещаться, covered
отвал, the blade
отдаленно, remotely
откроить, to adroit
отстранение, suspension
отыграть, play
оцепенеть, numb
параграф, paragraph
перекрестный, cross
переоценить, to overestimate
переоценка, revaluation
перст, finger
петропавловский, Peter and Paul
пискнуть, in
плетень, the fence
победоносный, victorious
по-вашему, you
повседневность, daily
подгруппа, subgroup
подеваться, gone to
подменять, substitute
подмога, help
подогреть, preheat
подорожать, to appreciate
подпевать, sing along
подсудность, jurisdiction
подуть, blow
подыскивать, to find
политься, pour
полынь, wormwood
помахивать, to waggle
порнография, pornography
портативный, portable
потенция, potency
потускнеть, to fade
прагматический, pragmatic
превыше, above
предикат, the predicate
предохранитель, fuse
преуспевающий, successful
приветственный, welcome
придание, giving
придача, the addition
принуждать, to force
природопользование, management
приютить, shelter
провидение, Providence
провинциал, the provincial
проволочный, wire
продвинутый, advanced
проигнорировать, ignore
произношение, pronunciation
промывать, wash
проследовать, continue
просуществовать, to survive
протестантский, Protestant
пульсировать, pulsate
путеводитель, guide
путевой, track
разбег, the runway
разговорный, spoken
разлиться, flow
размахнуться, you swing
раскаленный, hot
раскачивать, rocking
распределительный, distribution
распродажа, sale
растереть, grind
реализовывать, to implement
ревниво, jealously
рентген, x-ray
рой, Roy
рутинный, routine
саженец, seedling
саксофон, saxophone
сгнить, rot
сгорание, combustion
северо-восточный, northeast
семилетний, seven
сечь, Sich
синеть, blue
сито, Tammy
скатываться, slide
скок, Skok
скулить, whine
смокинг, tuxedo
снегопад, snowfall
содрогнуться, shudder
сориентироваться, to Orient
соскользнуть, slide
сосновский, Sosnowski
сосредоточение, concentration
сотый, hundredth
соучастник, partner
спелеолог, caver
специя, Spezia
спица, spoke
спроектировать, design
спятить, to lose your mind
старательный, carefully
столешница, countertop
столп, pillar
столько-то, so much
сторониться, to avoid
стоячий, standing
стоящий, standing
страстной, passionate
строжайший, strict
субстрат, the substrate
сумеречный, twilight
сцепить, hook
съедобный, edible
такса, Dachshund
татуировка, tattoo
товарищеский, friendly
торф, peat
транс, TRANS
трезвость, sobriety
тупость, stupidity
тягучий, viscous
убыль, loss
углеводородный, hydrocarbon
уединение, privacy
умеренно, moderately
уместиться, fit
умчаться, dart
урон, damage
усваивать, to learn
усматривать, to see
усопший, the deceased
устрица, oyster
ухудшиться, to worsen
фарисей, the Pharisee
функционер, functionary
хитрить, to cheat
холодильный, refrigeration
хрип, rattle
хрустнуть, to chustnut
целенаправленно, purposefully
чемпионский, champion
чередоваться, rotate
чмокнуть, kiss
чудесно, wonderful
шах, Shah
шлак, slag
шлепнуть, slap
шпилька, stud
экспериментально, experimentally
ювелир, jeweler
ястреб, hawk
ящерица, lizard
аббревиатура, abbreviation
агрессор, the aggressor
азартно, recklessly
анализироваться, analyzed
ангар, hangar
архаичный, archaic
археологический, archaeological
ассигнование, the allocation of
афера, Scam
бабуся, Granny
барабанный, drum
баскетбольный, basketball
бежевый, beige
безжизненный, lifeless
безоблачный, cloudless
бесповоротно, irrevocably
близорукий, nearsighted
блюдечко, the saucer
бронный, bronny
бурьян, weeds
вагонный, car
вакцинный, vaccine
ведущая, leading
вездесущий, omnipresent
венецианский, Venetian
вертолетный, helicopter
видеозапись, video
виноградник, vineyard
виолончель, cello
вираж, turn
витраж, stained glass
водолаз, diver
водочный, vodka
возродиться, to revive
воодушевление, inspiration
впрок, for the future
вчетвером, four
вывернуться, to be turned out
вызывающий, calling
вылазка, Sally
выносливость, endurance
высокомерие, arrogance
вытерпеть, to endure
вэ, ve
газетчик, the paperboy
гонец, the messenger
гороскоп, horoscope
гостинец, hotels
гробовой, deathly
движущий, driving
двухместный, double
демократизация, democratization
дизайнерский, designer
доверчиво, trustingly
довольно-таки, pretty
единодушный, unanimous
жезл, rod
женственный, feminine
жижа, liquid
заблестеть, Shine
заверять, to assure
загробный, afterlife
задушевный, sincere
закипеть, simmer
залететь, to fly
замедление, slow
занимательный, entertaining
занятой, busy
застенчиво, shyly
затмение, Eclipse
защищенность, security
звучный, sonorous
здрасте, "Hello
зимовать, winter
зловеще, ominously
зуд, itching
иерусалимский, Jerusalem
излишество, excess
изменник, the traitor
изнемогать, to be exhausted
изображаться, be depicted
индус, the Hindu
интеллигентность, intelligence
интервенция, intervention
информатизация, Informatization
итого, total
казус, the incident
католицизм, Catholicism
кипа, bale
кладбищенский, cemetery
клюква, cranberry
клясть, to clast
колымский, Kolyma
копоть, soot
кореш, sidekick
корректива, correction
кривить, to krivit
кубрик, Kubrick
кузина, cousin
лаз, LAZ
лекарь, the healer
лексема, token
лепетать, to speak
лиана, Liana
лукавить, boggle
льняной, linen
майонез, mayonnaise
массовка, the crowd
махинация, scheme
медальон, medallion
мелочный, petty
мессия, the Messiah
милейший, dear
миллиардер, billionaire
многолюдный, crowded
многослойный, multilayer
многосторонний, multilateral
мозоль, corn
молдавский, Moldovan
молниеносно, lightning
мсье, Monsieur
на, on
наводка, the tip
наездник, rider
налаживание, establishing
наплыв, the influx
нарваться, running
населить, live
насильник, rapist
наследование, inheritance
начальственный, authoritative
невесомость, weightlessness
неглупый, intelligent
недолюбливать, dislike
незваный, uninvited
незначительно, slightly
немытый, unwashed
неотразимый, irresistible
непослушный, naughty
неправдоподобный, implausible
нескрываемый, undisguised
несравненно, much
неудержимо, uncontrollably
неудивительный, it is no wonder
неумелый, inept
новобранец, rookie
ночевка, overnight
обождать, to wait
обомлеть, to oboslete
обрастать, to acquire
обрекать, doom
обрисовать, outline
обступить, pressing
объезжать, to avoid
окунь, perch
оп, op
остолбенеть, petrify
отборный, selected
отвязаться, get rid of
отмель, shallow
отождествлять, to identify
отпить, to drink
отрывисто, abruptly
отсчитывать, to count
оттащить, pull
оттолкнуться, to start
охать, ooh
палитра, palette
парторг, the party organizer
патриархия, Patriarchy
передатчик, transmitter
переполнять, to overwhelm
переспрашивать, to ask
песнопение, singing
плантация, plantation
плательщик, the payer
плеваться, spitting
повелеть, get
повсеместный, widespread
повторно, again
подбадривать, cheer
подвластный, subject
покушать, to eat
попивать, drink
пороховой, powder
портиться, to spoil
порхать, to flutter
посольский, Embassy
правдоподобный, plausible
предостерегать, to warn
предостережение, warning
предприимчивый, enterprising
представительница, representative
привал, halt
признательный, grateful
приобщаться, join
приседать, squat
присматривать, watch
причуда, fad
пробудиться, to Wake up
прогреметь, thunder
проинформировать, to inform
прокормить, to feed
промолвить, to say
проницаемость, permeability
простодушно, ingenuously
протянуться, get
прямолинейный, straight
пугающий, frightening
пустяковый, trifling
размеренный, measured
распростереть, to rasprostanenie
рассрочка, installment
расстегивать, unbuckling
расстроенный, frustrated
ратификация, ratification
реагент, reagent
рисоваться, to draw
риф, reef
рубец, scar
садовод, gardener
самобытность, identity
самозащита, self-defense
самоуверенность, overconfidence
сандалия, sandal
сближаться, closer
свергнуть, to overthrow
свержение, the overthrow of the
сверхновый, supernova
сдуть, blow away
седан, sedan
сень, canopy
слоган, slogan
смыкаться, to close
снасть, tackle
снотворное, sleeping pills
собеседница, companion
сознаваться, to confess
соответственно, accordingly
старейшина, elder
статься, can
стыдный, shameful
суеверный, superstitious
там-то, there
танцовщица, dancer
тектонический, tectonic
тиф, typhoid
траур, mourning
трахнуть, fuck
трепаться, to shoot the breeze
трудолюбие, diligence
трусить, to trusit
убыточный, losing
ужесточение, tightening
укорениться, root
умышленный, intentional
униформа, uniforms
упиваться, revel
упрашивать, to beg
упругость, elasticity
утихать, subside
утомленный, tired
фабричный, factory
фанатизм, fanaticism
фасон, style
фляга, jar
форсировать, to force
фыркать, snorting
халтура, the hack
хер, fuck
хлюпать, squish
цветастый, colorful
цензор, censor
цигарка, zegarka
челка, bangs
человечий, human
человечный, human
чудно, wonderful
чудной, weird
широкоплечий, broad-shouldered
шлагбаум, the barrier
шлейф, train
шмель, bumblebee
щечка, the cheek
экскурсовод, the guide
экспедиционный, forwarding
экспресс, Express
экстравагантный, extravagant
эпилог, epilogue
эпос, epic
юго-запад, southwest
юнкер, Junker
яичный, egg
авангардный, avant-garde
автостоянка, Parking
агентура, agents
анатомический, anatomical
апеллировать, to appeal
апелляция, appeal
аптечный, pharmacy
архиерейский, hierarchical
астролог, astrologer
аттитюд, attitude
афганец, Afghan
ахать, exclaim
беззаботно, carefree
беспечно, lightly
бестселлер, bestseller
бидон, the churn
..ля, ..La
бойня, slaughter
бордюр, curb
бостон, Boston
брить, shaving
бронетранспортер, the APC
валик, roller
веселить, amuse
вкопать, to scopate
властелин, Lord
влетать, to fly
восхитить, delight
впитать, to absorb
враждебность, hostility
всмотреться, look
всхлип, sob
всякое, every
вторгаться, to invade
в-четвертых, fourth
вызваться, be called
вызываться, be called
выразительность, expressiveness
высокоэффективный, high-performance
выудить, to get
выцветший, faded
газель, Gazelle
геохимический, geochemical
голодовка, the hunger strike
голосовой, voice
голубоглазый, blue-eyed
горчица, mustard
гриппозный, flu-like
гробница, tomb
грохнуться, crashing
грубоватый, rough
далеко-далеко, far
демагогия, demagoguery
ди, di
диверсификация, diversification
дискомфорт, discomfort
доверху, top
домино, Domino
домишко, the house
доплата, Supplement
дроздовский, drozdowski
дублировать, duplicate
дыбом, end
единоросс, ur member
емкий, capacious
жетон, token
журчать, splatter
заблокировать, block
загон, pen
загородить, to block
законодательно, legally
замелькать, to samalkot
заострить, to sharpen
заповедный, reserved
запрашивать, request
запредельный, beyond
заспанный, sleepy
заставать, to find
затоптать, to trample
зачистка, Stripping
злосчастный, the ill-fated
значительность, the significance of
зоркий, sharp
избавлять, to deliver
изготовитель, manufacturer
изготовлять, manufacturing
изнанка, wrong side
изумляться, marvel
изумруд, emerald
изюм, raisins
именины, birthday
имхо, IMHO
инициал, the initial
интерактивный, interactive
искорка, spark
испечь, bake
исправный, working
июньский, June
калоша, galosh
канистра, canister
кафедральный, Cathedral
ковчег, the ark
композиционный, composite
конфетка, sweetie
концентрированный, concentrated
костяной, bone
крематорий, crematorium
кулик, Kulik
курносый, snub
кусаться, biting
лаборант, assistant
лазарет, the infirmary
ледокол, icebreaker
лесопользование, forest management
лобный, frontal
магний, magnesium
марксист, Marxist
масонский, Masonic
матросский, sailor
махорка, shag
мачеха, the stepmother
метафизика, metaphysics
метнуть, throw
миссионерский, missionary
многомиллионный, millions
мобильность, mobility
морфология, morphology
навигационный, navigation
навредить, harm
накладной, invoice
наклеить, stick
наклейка, sticker
напирать, to emphasize
напролет, long
напрямик, straight
наставить, instruct
настроиться, tune
насыщение, saturation
натереть, grate
нащупывать, to find
невидимка, invisible
невиновный, innocent
нейтрализация, neutralization
некорректный, incorrect
немедля, immediately
немощный, weak
неописуемый, indescribable
неотделимый, inseparable
несанкционированный, unauthorized
несвойственный, unusual
несение, carrying
несостоятельный, insolvent
неустойчивость, instability
нечаянный, unexpected
нечеткий, fuzzy
нещадно, mercilessly
нюх, the scent
облезлый, shabby
обновляться, updated
обоснованность, the validity
обсерватория, Observatory
обшить, sheathing
обыскать, search
одежка, clothes
одессит, Odessa
озвереть, to go berserk
о-о, Oh
опальный, disgraced
оплакивать, to mourn
оплошность, mistake
оранжерея, greenhouse
органичный, organic
ореховый, walnut
ориентированный, oriented
оседлать, to ride
осмелеть, to omelet
остроумно, witty
отвернуть, Unscrew
отвесный, sheer
отвратительно, disgusting
отдуваться, take the rap
отзвук, echo
отпереть, unlock
отрадный, welcome
отрекаться, to renounce
отрочество, adolescence
отточить, hone
отшельник, the hermit
ошейник, collar
ошибочно, mistakenly
папаха, hat
пензенский, Penza
первенец, the firstborn
переглядываться, exchange glances
передразнить, to mimic
переместить, move
переподготовка, retraining
перепрыгнуть, jump
перерабатывать, process
пересказ, retelling
пересматривать, review
периодичность, the frequency
пикантный, spicy
письменно, in writing
плачущий, crying
плеск, splash
побродить, wander
поголовье, livestock
подготавливать, to prepare
поджимать, purse
подкрасться, creep
подпункт, item
подрезать, cut
подсовывать, shove
подсолнечный, sunflower
пожарник, the fireman
пожрать, devour
позировать, to pose
полиомиелит, polio
половица, the Board
полтинник, fifty dollars
полупрозрачный, translucent
получка, pay
полюбопытствовать, be curious
померкнуть, to fade
помрачнеть, to what worried
пополнять, refill
пороть, flog
поручень, handrail
поршень, the piston
посиделки, gatherings
поспешный, hasty
посредине, in the middle
постамент, pedestal
потрясающе, fabulous
потягивать, SIP
прачечная, Laundry
председательство, the presidency
преподносить, to present
прикол, funny
припадать, to drop
припас, left
причислить, to classify
пришествие, coming
пробирка, tube
провокационный, provocative
произвольно, arbitrarily
прокол, puncture
пропагандист, promoter
прорубь, the hole
просачиваться, leak
просиять, brighten
проскользнуть, slip
прослужить, to serve
пространный, lengthy
пряный, spicy
публицистика, journalism
пуховый, downy
разведать, explore
раздуть, to inflate
разжигать, kindle
разлетаться, to scatter
разориться, splurging
раковый, cancer
рассечь, cut
растекаться, to spread
растопить, melt
ребятки, guys
репрессировать, to repress
рецензент, reviewer
рябь, ripples
самоходка, the self-propelled launcher
сашин, Sasha
свая, pile
сгибаться, bend
сказание, the legend
склеить, glue
скорректировать, to adjust
слиток, ingot
смыться, scoot
сникнуть, stagnated
совестно, ashamed
согласовывать, agree
согнутый, bent
сообщник, sidekick
сопредседатель, co-chair
сосредоточенность, focus
специфичность, specificity
специфичный, specific
спинной, spinal
спиртной, alcohol
среднегодовой, average annual
среднестатистический, average
сродни, akin
ссадина, abrasion
стойко, rack
стояние, standing
страховать, to insure
стройматериал, the material
струсить, / she
сумасшествие, madness
съезжать, take
сюртук, coat
танкер, tanker
тембр, voice
теннисист, tennis player
термический, thermal
тождественный, identical
томный, languid
тора, the Torah
торжествующе, triumphantly
трубить, trumpet
туманность, nebula
турне, tour
тюк, bale
ублюдок, bastard
угон, theft
угрызение, ugrasena
уездный, County
универсал, wagon
унять, to relieve
усилитель, amplifier
ушанка, earflaps
уязвить, to sting
фантазировать, to dream
физико-математический, physico-mathematical
хобот, trunk
холеный, sleek
ценообразование, pricing
чаяние, hope
челнок, Shuttle
чернильный, ink
чуб, Chub
чулан, the closet
чуткость, sensitivity
швабра, MOP
шелохнуться, to move
шельф, shelf
шифр, cipher
шквал, squall
штурмовой, assault
эгоист, selfish
экземляр, instance
элегантно, elegantly
эмалированный, enamel
эротика, erotica
эсэсовец, SS
юбиляр, hero of the day
ящичек, box
абрикос, apricot
аграрий, agrarian
аморальный, immoral
апофеоз, apotheosis
бандероль, parcel
бантик, bow
барахтаться, to flounder
бард, bard
бедно, poor
безоговорочный, unconditional
бессовестный, shameless
бирюк, Biryuk
блаженно, blissfully
блатной, trickster
блеклый, faded
боеголовка, warhead
брезгливый, squeamish
буклет, booklet
буль-буль, bull bull
бунтовать, rebel
верховой, horse
взглядывать, look
висячий, hanging
влипнуть, get
вооружиться, arm
восхищенный, delighted
всегдашний, usual
вскипеть, to boil
встревожиться, to tizzy
встроенный, built-in
втащить, to drag
вымпел, pennant
выпирать, boosts
выплюнуть, spit it out
высадиться, to land
высоченный, tall
выявиться, identified
геноцид, genocide
главком, commander-in-chief
градиент, the gradient
греховный, sinful
громыхать, to rumble
двойственный, dual
дебютировать, to debut
державный, sovereign
диверсия, sabotage
дикость, wildness
динамично, dynamically
длинноногий, leggy
добивать, to finish off
домысел, speculation
допотопный, antediluvian
доработать, to finalize
желток, yolk
желчный, gall
жестикулировать, gesture
жировой, fat
забинтовать, wrap
заботить, caring
закачаться, to nakachatsya
закрутиться, curl
запастись, stock up
заплаканный, tearful
засидеться, to stay
идеализм, idealism
идиллия, idyll
иерарх, Hierarch
изнурительный, exhausting
изобретательность, ingenuity
индейский, Indian
индивидуально, individually
инсценировка, dramatization
ирод, Herod
искатель, finder
испачкать, stain
исполнительский, performing
кабаре, cabaret
казахстанский, Kazakhstan
какой-никакой, any
капиталовложение, investment
картер, Carter
картотека, card index
каста, caste
каторжный, hard
кибернетика, Cybernetics
классифицировать, to classify
классно, cool
клеить, glue
клониться, to fall
кодовый, code
колоритный, colorful
командировочный, travel
конверсия, conversion
консолидированный, consolidated
конфуз, the confusion
кормилец, the breadwinner
котик, cat
кочевать, to roam
красноречивый, eloquent
кровообращение, circulation
кузнецкий, Kuznetsk
культурно, cultural
кухарка, cook
лагуна, Laguna
лентяй, bummer
ликер, liqueur
лоза, vine
мари, Marie
масонство, Freemasonry
мастерски, masterfully
меньшевик, Menshevik
милостыня, charity
мобилизационный, mobilization
моллюск, clam
молодняк, young
молочко, jelly
мятежный, rebel
навалом, bulk
нагонять, catch up
надвинуть, slide
надувной, inflatable
намотать, reel
напялить, to get
наработать, to develop
настигать, to overtake
настойка, tincture
настояние, the insistence
насчитать, to count
натяжка, stretch
натянутый, tense
нахально, cheeky
нашуметь, made a noise
недоверчивый, suspicious
недомогание, malaise
нелюбимый, unloved
нематериальный, intangible
немыслимо, unthinkable
нерешенный, unresolved
несчастливый, unhappy
неугодный, evil
неустанно, constantly
низина, lowland
николаевский, Nicholas
ноу-хау, know-how
оазис, oasis
обгореть, burn
обдать, pour
обелиск, the obelisk
обертка, wrap
обзывать, call
обманщик, the deceiver
обнаглеть, to grow insolent
обувной, Shoe
однокашник, classmate
ожерелье, necklace
оперативность, efficiency
оповестить, alert
оптимистичный, optimistic
органически, organically
освидетельствование, examination
осознанно, consciously
оставление, leaving
остричь, to cut
отведать, enjoy
отек, swelling
отпускной, selling
отсечь, trim
оттопырить, to stick out from the
пагубный, harmful
параша, the Parasha
патефон, the gramophone
пейджер, pager
переворачиваться, roll over
передвинуть, move
переминаться, to periments
переспать, sleep
перышко, a feather
песенный, song
печенка, liver
пижон, dude
пицца, pizza
плавник, fin
плачевный, sad
пленарный, plenary
пленный, prisoner
пневмония, pneumonia
побои, beating
побриться, to shave
поворотный, rotary
подавно, even more so
подборка, a range of
подвинуться, to move
подглядывать, peep
подкармливать, feed
подкрепление, reinforcement
позаимствовать, to borrow
покаянный, penitential
положим, put
полукруглый, semicircular
полюбиться, fancy
поминутно, minutes
помыться, wash
поникнуть, penetration
попечитель, Trustee
поплавок, float
поругаться, to quarrel
поручиться, vouch
порядком, order
посолить, salt
по-старому, as usual
поучиться, to learn
предводитель, the leader
прелюдия, prelude
преобладающий, the predominant
пресс-центр, press center
придвинуться, to get
придираться, nitpick
прикрепляться, attached
принудить, to force
присваивать, assign
пристегнуть, fasten
притвориться, pretend
пробор, the parting
проговориться, to tell
продлевать, to extend
прорасти, grow
протекание, course
противоборство, confrontation
профком, the trade Union
путный, Putna
пылинка, speck
пьющий, drinker
разбой, robbery
размазать, smudge
разминка, warm-up
разрыдаться, to burst into tears
разрядить, discharged
разъезжаться, to disperse
ракетка, racket
раскидать, spread
распирать, to shore
расписываться, sign
рассада, seedlings
рассекать, cut
растворимый, soluble
растяжка, stretching
резвиться, frolic
ринг, the ring
ровно, exactly
ром, rum
рукоять, handle
самозабвенно, selflessly
самолично, personally
связывание, linking
сгрести, rake up
седьмая, seventh
сирийский, Syrian
ситцевый, calico
скафандр, the suit
скрючить, to SkyCity
скупо, sparingly
славить, praise
смерч, tornado
сморщенный, wrinkled
смущенный, confused
смычок, bow
соболь, sable
содеять, to do
созревать, Mature
сокрытие, concealment
солгать, to lie
сомкнуть, to close
спереть, to sperate
сравниться, to compare
среднесрочный, medium
стимуляция, stimulation
стихать, to subside
строчить, scribbling
стужа, cold
судиться, sue
съехаться, to arrive
типично, typically
толерантность, tolerance
томительный, painful
тропарь, troparion
тыльный, back
уготовать, thing
улыбочка, the smile
умыть, wash
умышленно, intentionally
унификация, unification
управленец, Manager
урчать, growling
усложнять, to complicate
усыновить, to adopt
утешительный, comforting
утолить, to satisfy
ухитряться, power
учуять, to smell
фигурист, skater
финишировать, to finish
халява, freebie
хладнокровно, coolly
холодеть, to chill
хронология, chronology
хрящ, cartilage
царствовать, reign
цинковый, zinc
чаять, belief
чертовски, damn
четвертая, fourth
чиркнуть, strike
чокаться, clink
чукотский, Chukchi
шалость, prank
шейх, Sheikh
шило, Shyla
шипение, hiss
шмотки, clothes
шоколадка, chocolate
щиток, the flap
экий, what
эксплуатироваться, be operated
эстонец, Estonian
янтарный, amber
агитатор, agitator
антиквариат, Antiques
антисемитский, anti-Semitic
аспирантка, postgraduate student
аудиторский, audit
банкнота, bill
безвредный, harmless
бездарность, mediocrity
безмолвно, silently
безоружный, unarmed
белгородский, Belgorod
беситься, rage
беспрестанно, continually
бисер, beads
болтун, chatterbox
болячка, sore
брусок, the bar
буддийский, Buddhist
вакуумный, vacuum
вареник, dumpling
верзила, the big
взбеситься, get mad
вилы, forks
виртуозный, virtuoso
вкрадчиво, insinuating
вменить, ask
внедорожник, SUV
волеизъявление, will
воссоздание, recreation
вояка, the leader
впиваться, one
впускать, let
вскидывать, throw up
вспять, back
вываливаться, to fall out
выдергивать, pull
выздоравливать, to recover
вымышленный, fictional
выносливый, hardy
высохший, dried
высочество, Highness
выстрадать, to suffer
вытолкнуть, push
вычислять, to calculate
вышить, embroider
вьющийся, curly
гадина, reptile
галифе, breeches
гастролировать, touring
гильдия, Guild
гитлеровец, the Nazi
годик, a year
горизонталь, horizontal
городишко, town
горючий, fuel
грамотность, literacy
грот, grotto
давай-ка, let's
давнишний, old
дверка, door
деревенька, village
доить, milk
донышко, the bottom
дослушать, listen
дохнуть, to inhale
дочурка, daughter
дряхлый, decrepit
еврейство, Jewry
еженедельный, weekly
женевский, Geneva
жесть, tin
завистливый, jealous
завоеватель, the conqueror
задачка, the challenge
заезжий, coach
заесть, seizing
зазывать, to entice
залиться, laugh
заржать, to Seriate
заручиться, to enlist
засадить, planting
засиять, Shine
затяжка, tightening
захватчик, invader
зачеркнуть, cross out
зимовка, wintering
злодеяние, crime
злоумышленник, the attacker
играться, play
игривый, playful
иеромонах, hieromonk
изваяние, statue
известь, lime
изгибаться, to bend
иммуноферментный, enzyme-linked immunosorbent
инструктаж, instruction
искупить, to redeem
испорченный, spoiled
йогурт, yogurt
кадка, the barrel
кальсоны, pants
каменщик, Mason
квадратик, square
кладовая, pantry
кокетничать, flirt
колоться, drugs
компакт-диск, CD
консенсус, the consensus
контрастный, contrast
концентрироваться, to concentrate
короб, box
королевич, the king's son
кувыркаться, somersault
культивирование, cultivation
кум, Kum
латыш, Latvian
лизнуть, to lick
лукавство, slyness
малюсенький, tiny
малютка, baby
манекен, mannequin
маскировать, mask
медитация, meditation
металлолом, scrap
меценат, patron
миротворец, peacemaker
младенческий, infant
младенчество, infancy
многомерный, multidimensional
молчаливо, silently
мудро, wisely
мурашки, goose bumps
надстройка, the add-in
нажатие, pressing
накидка, Cape
напоказ, show
нахлынуть, find
национально-культурный, national-cultural
начисление, accrual
невинно, innocent
негодный, bad
недвусмысленно, clearly
недооценить, to underestimate
неоднократный, repeated
непристойный, obscene
неработающий, broken
неспешный, slow
несусветный, utter
нечетный, odd
новоселье, housewarming
норд-ост, Nord-OST
обвиняться, be suspected
облачить, to clothe
обогащать, to enrich
обозлиться, be angry
овен, Aries
оголить, exposing
однообразие, the monotony
оживлять, to revive
озеленение, landscaping
опадать, fall
опекун, the guardian
оплот, stronghold
оса, wasp
освящение, sanctification
осиротеть, to sirotti
ослабевать, to weaken
отделочный, finishing
отработанный, exhaust
отснять, shoot
охраняться, protected
падший, fallen
панно, panels
пансион, Board
папироска, the cigarette
парадное, parade
пардон, sorry
перегнуться, lean
передвижной, mobile
пересчет, recalculation
перечеркнуть, to negate
песец, Fox
печной, oven
печься, bake
пилотировать, to fly
пинать, kick
плевок, spit
погружать, immerse
подведение, summary
подмышка, armpit
подсознательный, subconscious
подчинять, to subdue
позволение, permission
покалечить, maim
ползучий, creeping
понаслышке, hearsay
посад, Posad
посредственный, mediocre
посудить, sue
потеха, fun
потупиться, to pothupitiya
поцеловаться, kiss
предбанник, the waiting room
предвоенный, prewar
предсказуемый, predictable
предусмотрительно, prudent
пренебрежительно, neglect
прибавляться, added
привязка, binding
придраться, nitpick
прима, prima
приплыть, to come
приподниматься, to rise
прирожденный, born
проголодаться, hungry
прогонять, chase
проклятье, curse
проникновенно, soulful
пропахнуть, to proponet
прорезь, slot
протащить, to push
псалом, Psalm
радиосвязь, radio
разволноваться, get flusterated
разорение, ruin
распечатать, print
рассеяние, scattering
расторгнуть, to terminate
ратовать, advocate
рафик, Rafiq
режущий, cutting
реквием, Requiem
речушка, river
рус, Rus
рыболовство, fishing
сарказм, sarcasm
сбалансированный, balanced
сверлить, drilling
сгонять, to go
сентябрьский, September
сестричка, sister
сеянец, seedling
скандинавский, Scandinavian
сменный, replacement
смещаться, move
сноп, the sheaf
соблазнять, to seduce
совладать, to cope
созвучный, consonant
соплеменник, tribesman
сосуществовать, to coexist
сотник, centurion
спалить, to burn
спас, saved
спичечный, match
сродни, akin
стаскивать, pulling off the
стерильный, sterile
стрельнуть, shoot
стынуть, to stanut
суетливо, hurriedly
съежиться, cringe
тайм, time
талисман, mascot
тельняшка, vest
темень, darkness
тибетский, Tibetan
тикать, to tick
тишь, silence
тщетный, vain
тыкаться, rooting
убранство, decoration
углекислый, carbon dioxide
удовлетворяться, be satisfied
узнавание, recognition
укрывать, hide
умно, smart
уничтожаться, destroyed
утаить, to hide
утомлять, tire
формализм, the formalism
фюзеляж, the fuselage
хамить, be rude
хиппи, hippie
хрестоматийный, textbook
хулиганский, hooligan
циник, the cynic
чернильница, inkwell
черновой, draft
честолюбивый, ambitious
четный, even
членик, segment
чтить, honor
шествовать, Perth
шмыгнуть, to signout
шотландец, the Scotsman
экономичный, cheap
экранизация, filming
энциклопедический, encyclopedia
юркнуть, whisk
автотранспортный, motor
агония, agony
аист, stork
алан, Alan
анализатор, analyzer
апокалипсис, Apocalypse
аптечка, first aid kit
аркан, Arkan
ароматический, aromatic
базарный, Bazaar
балаган, Balagan
бездумно, thoughtlessly
беззубый, toothless
безмятежно, serenely
безнаказанно, with impunity
берлога, home
беспечность, carelessness
беспросветный, gloomy
бессмысленность, senselessness
бесстрашно, fearlessly
библиотекарь, librarian
биологически, biologically
благочестивый, godly
блюсти, stick
боготворить, worship
бормотание, mumbling
бородач, lammergeier
боярский, boyar
братан, bro
брод, Ford
буржуй, bourgeois
вдавить, push
ветреный, windy
